state,x,y
Andhra Pradesh,-75,-199
Arunachal Pradesh,279,124
Assam,238,78
Bihar,85,58
Chhattisgarh,-18,-42
Goa,-192,-192
Gujarat,-243,-6
Haryana,-148,154
Himachal Pradesh,-119,219
Jharkhand,54,4
Karnataka,-157,-217
Kerala,-137,-309
Madhya Pradesh,-98,-2
Maharashtra,-174,-100
Manipur,262,33
Meghalaya,190,52
Mizoram,236,0
Nagaland,278,67
Odisha,47,-61
Punjab,-161,196
Rajasthan,-200,86
Sikkim,140,111
Tamil Nadu,-103,-295
Telangana,-95,-142
Tripura,205,7
Uttar Pradesh,-60,87
Uttarakhand,-91,177
West Bengal,98,-4
